VENDOR_NAME,VENDOR_NBR,SKU_NBR,DC_ID,PO_NBR,FISCAL_WEEK_NBR,MDSE_GRP_DSC,DIRECTOR,CAT_NBR,CATEGORY,SKU_DSC,DNP_RANKING,COMBINED_ACTION,COMBINED_CAUSE,ACTION_TAKEN_ON_TIME,FILL_RATE_ISSUE,SUM_ORDERED,SUM_RCVD,FILL_RATE,FILL_RATE_WK_1,FILL_RATE_WK_2,FILL_RATE_WK_3,FILL_RATE_WK_4,FILL_RATE_WK_5,FILL_RATE_WK_6,FILL_RATE_WK_7,VENDOR_ISSUE,OOS_LIKELY,LATE_ISSUE,STA_DT,REQUESTED_DT,APPT_DT,TRAILER_ARRIVE_DT,RECEIVED_DT,RECEIPT_DELAY_DAYS,RECEIPT_DELAY_WK_1_AGO,RECEIPT_DELAY_WK_2_AGO,RECEIPT_DELAY_WK_3_AGO,RECEIPT_DELAY_WK_4_AGO,DC_BOH_QTY,STORE_BOH_QTY,ON_WITHDRAWAL_QTY,TOTAL_WEEKS_OF_SUPPLY,IN_STOCK_PERCENT,STORE_IN_STOCK_PCT,ACTIVE_IND,DISCON_IND,OOS_LIKELY2,AVG_FILL_RATE_4WK,AVG_RECEIPT_DELAY_4WK,AVG_FILL_RATE_8WK,AVG_RECEIPT_DELAY_8WK,SKU_AVG_MARGIN,TOTAL_UNITS_ORDERED,STORE_COUNT
VITAGEN,91123,58915,GA,32050,202536,PET CARE,BRUCE BANNER,9,PET SUPPLIES,Eye Drops 0.5oz,Top 50%,Vendor Outreach,Weather delay,,N,310,282,91.0,93.2,91.6,87.7,76.9,86.5,90.4,94.4,Y,N,Y,2025-08-22,2025-08-23,2025-08-25,2025-09-02,2025-09-03,20.0,19.0,24.8,27.8,19.8,362,1202,153,28.57,0.8377,0.7894,A,N,N,87.3,22.9,88.4,22.4,0.2385,310,23
PRIMECARE,34567,44803,NC,32051,202534,CONSUMER HEALTH CARE,PETER PARKER,10,FIRST AID,Dog Food Dry 20lb,Top 50%,Escalate to Merchant,>5 days late,Y,Y,137,86,63.1,66.5,60.6,49.5,52.3,73.3,63.6,73.5,Y,Y,Y,2025-08-27,2025-08-28,2025-08-30,2025-09-06,2025-09-08,16.5,19.1,16.8,19.2,20.2,372,177,70,69.94,0.5075,0.5136,A,N,Y,57.2,18.8,63.5,18.8,0.3068,137,282
BIOMED,48902,56437,OH,32052,202537,CONSUMER HEALTH CARE,CAROL DANVERS,10,FIRST AID,Sunscreen SPF50 4oz,Top 10%,Vendor Outreach,Manufacturing shortage,,N,192,179,93.4,96.8,100,91.5,99.7,96.7,100,90.4,N,N,N,2025-08-26,2025-08-29,2025-08-30,2025-08-30,2025-08-31,4.5,7.0,3.6,8.3,-1.6,21,639,40,21.91,0.8004,0.7946,A,N,N,97.0,4.3,95.7,4.2,0.222,192,297
BIOPLEX,72398,27992,TX,32053,202537,CONSUMER HEALTH CARE,NATASHA ROMANOV,10,FIRST AID,Nasal Spray 0.5oz,Bottom 50%,Vendor Outreach,Transportation issue,Y,N,392,387,98.6,100,99.5,100,100,100,86.7,100,Y,N,Y,2025-08-31,2025-08-31,2025-09-02,2025-09-03,2025-09-04,8.1,9.8,7.9,4.6,3.0,164,634,30,26.12,0.9633,0.9222,A,N,N,99.9,6.3,97.4,5.2,0.511,392,99
MEDIQ,55013,14763,NY,32054,202538,BABY & CHILD,NATASHA ROMANOV,8,BABY CARE,Moisturizer SPF30 3oz,Top 50%,Vendor Outreach,Manufacturing shortage,N,N,54,48,89.5,74.8,78.4,85.0,97.1,83.3,81.9,92.8,N,N,N,2025-08-17,2025-08-19,2025-08-19,2025-08-19,2025-08-21,1.5,0.5,2.0,2.9,3.2,172,1669,151,23.87,0.8647,0.8904,A,N,N,83.8,2.1,85.9,3.9,0.3319,54,54
ULTRAMED,75012,22502,FL,32055,202539,CONSUMER HEALTH CARE,NATASHA ROMANOV,3,COLD & ALLERGY,Sunscreen SPF50 4oz,Top 50%,Vendor Outreach,Weather delay,,N,53,47,88.9,100,90.1,100,95.4,87.0,88.7,87.7,N,N,N,2025-09-02,2025-09-04,2025-09-05,2025-09-05,2025-09-07,2.6,4.0,3.2,1.5,5.5,469,1976,151,26.28,0.8066,0.7787,A,N,N,96.4,3.5,92.9,2.9,0.545,53,201
SUNRISE,88345,81989,WA,32056,202537,PET CARE,PETER PARKER,9,PET SUPPLIES,Baby Wipes 80ct,Bottom 50%,Escalate to Merchant,>5 days late,N,Y,355,278,78.4,86.0,82.7,77.5,75.3,75.8,77.3,69.3,Y,Y,Y,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-20,14.6,13.5,17.6,19.7,10.4,228,1706,28,23.0,0.4814,0.4827,A,N,Y,80.4,15.3,78.1,14.6,0.4255,355,212
AKZE,32274,38560,NC,32057,202540,CONSUMER HEALTH CARE,CAROL DANVERS,2,VITAMINS & SUPPLEMENTS,Vitamin C 500mg 60ct,Top 10%,Vendor Outreach,Demand spike,Y,Y,82,52,63.8,64.5,79.6,70.1,72.8,63.0,62.6,68.7,Y,Y,N,2025-08-25,2025-08-25,2025-08-25,2025-08-25,2025-08-27,-1.1,-5.6,3.4,-7.4,1.0,440,762,60,33.12,0.3714,0.3751,A,N,Y,71.8,-2.1,67.1,-2.7,0.5403,82,247
SUNRISE,88345,81361,NY,32058,202537,PET CARE,BRUCE BANNER,9,PET SUPPLIES,Fiber Supplement 90ct,Top 50%,Vendor Outreach,>5 days late,Y,N,227,198,87.3,93.5,100,87.5,85.3,81.4,78.0,100,Y,N,Y,2025-08-04,2025-08-02,2025-08-04,2025-08-04,2025-08-05,9.6,7.1,10.2,10.1,5.8,224,529,276,38.9,0.763,0.7994,A,N,N,91.6,8.3,88.6,10.5,0.4671,227,173
GREENLEAF,61234,98150,GA,32059,202536,CONSUMER HEALTH CARE,BRUCE BANNER,4,PAIN MANAGEMENT,Multivitamin 90ct,Bottom 50%,Vendor Outreach,Demand spike,Y,N,316,279,88.3,91.6,87.4,91.0,100,83.1,97.8,82.4,N,N,N,2025-09-03,2025-09-02,2025-09-04,2025-09-05,2025-09-06,1.0,3.6,1.8,-0.8,-1.3,76,664,192,28.07,0.7533,0.7571,A,N,N,92.5,0.8,90.2,2.2,0.4626,316,39
VITAGEN,91123,64592,AZ,32060,202540,PET CARE,NATASHA ROMANOV,9,PET SUPPLIES,Shampoo 12oz,Top 10%,Vendor Outreach,>5 days late,,N,154,139,90.0,97.7,94.2,83.2,97.2,91.2,87.7,82.2,Y,N,Y,2025-08-31,2025-08-29,2025-08-30,2025-09-01,2025-09-01,6.6,9.5,8.5,11.3,6.0,108,1969,97,22.08,0.979,0.9407,A,N,N,93.1,8.8,89.6,11.1,0.372,154,114
SYNCO,67441,82362,GA,32061,202541,BEAUTY & PERSONAL CARE,NATASHA ROMANOV,5,PERSONAL CARE,Fiber Supplement 90ct,Top 50%,Escalate to Merchant,Manufacturing shortage,N,Y,233,125,53.6,53.6,43.1,66.4,39.5,56.7,51.3,40.3,Y,Y,N,2025-08-10,2025-08-07,2025-08-08,2025-08-09,2025-08-10,0.2,-1.9,2.5,-1.8,-0.6,78,451,168,30.91,0.392,0.399,A,N,Y,50.7,-0.4,50.6,2.1,0.5349,233,261
MEDIQ,55013,56160,FL,32062,202541,CONSUMER HEALTH CARE,DIANA PRINCE,3,COLD & ALLERGY,Cat Litter 40lb,Bottom 50%,Vendor Outreach,>5 days late,N,N,327,327,99.9,100,97.3,100,97.2,100,97.6,100,Y,N,Y,2025-09-09,2025-09-11,2025-09-13,2025-09-20,2025-09-22,15.5,15.6,15.4,15.1,12.6,249,82,3,81.46,0.8543,0.8454,A,N,N,98.6,14.7,99.0,17.9,0.1077,327,230
NOVAPHARM,41892,22624,AZ,32063,202537,CONSUMER HEALTH CARE,DIANA PRINCE,3,COLD & ALLERGY,Dog Food Dry 20lb,Bottom 50%,Escalate to Merchant,Transportation issue,Y,Y,179,136,75.9,77.2,75.0,83.9,70.2,81.7,53.6,66.2,Y,N,Y,2025-08-03,2025-07-31,2025-08-01,2025-08-04,2025-08-05,9.4,10.0,8.3,13.7,9.2,282,1024,28,26.05,0.8847,0.905,A,N,N,76.6,10.3,74.0,12.2,0.5027,179,31
SYNCO,67441,84289,WA,32064,202535,BEAUTY & PERSONAL CARE,PETER PARKER,5,PERSONAL CARE,Vitamin C 500mg 60ct,Top 50%,Vendor Outreach,>5 days late,,Y,193,154,79.6,77.7,78.8,85.9,76.6,89.9,77.0,79.8,Y,Y,Y,2025-09-13,2025-09-14,2025-09-15,2025-09-18,2025-09-20,12.0,7.3,10.8,15.7,6.7,71,1668,40,21.33,0.5003,0.5477,A,N,Y,79.8,10.1,80.2,12.1,0.4461,193,213
AKZE,32274,93115,OH,32065,202537,BABY & CHILD,THOR ODINSON,8,BABY CARE,Sunscreen SPF50 4oz,Top 10%,Escalate to Merchant,Manufacturing shortage,Y,Y,242,143,59.0,61.8,54.0,48.4,68.5,64.7,62.8,46.9,Y,Y,N,2025-08-24,2025-08-21,2025-08-21,2025-08-21,2025-08-22,-1.4,-5.2,2.2,0.3,1.1,227,787,138,29.28,0.3409,0.2996,A,N,Y,58.2,-0.4,57.5,0.7,0.1403,242,293
GREENLEAF,61234,88386,GA,32066,202538,BEAUTY & PERSONAL CARE,PETER PARKER,7,SKIN CARE,Antacid Tablet 100ct,Top 50%,Escalate to Merchant,Low fill rate (<85%),N,Y,448,196,43.7,57.8,33.6,54.0,42.3,47.5,50.6,48.1,Y,Y,N,2025-08-24,2025-08-23,2025-08-23,2025-08-24,2025-08-26,1.5,3.4,2.7,3.6,-0.1,315,450,234,44.4,0.3428,0.3233,A,N,Y,46.9,2.4,48.2,4.1,0.2506,448,79
HEALTHCORP,80021,89064,IL,32067,202536,BABY & CHILD,DIANA PRINCE,8,BABY CARE,Cough Syrup 8oz,Bottom 50%,Vendor Outreach,Low fill rate (<85%),N,N,213,190,89.4,87.1,86.2,80.7,84.1,86.7,78.9,99.7,N,N,N,2025-09-19,2025-09-20,2025-09-20,2025-09-21,2025-09-23,0.8,2.6,-0.0,2.7,0.8,107,947,149,25.41,0.9411,0.898,A,N,N,84.5,1.5,87.2,-1.4,0.1626,213,165
BIOPLEX,72398,96332,FL,32068,202535,BEAUTY & PERSONAL CARE,DIANA PRINCE,7,SKIN CARE,Fiber Supplement 90ct,Top 50%,Vendor Outreach,Low fill rate (<85%),N,Y,356,218,61.1,53.4,66.7,71.9,55.2,47.5,57.3,50.3,Y,Y,N,2025-09-09,2025-09-06,2025-09-08,2025-09-09,2025-09-10,1.8,6.7,3.6,3.2,0.9,494,1680,220,28.5,0.3424,0.3023,A,N,Y,61.8,3.6,57.6,4.2,0.276,356,266
HEALTHCORP,80021,13219,WA,32069,202540,CONSUMER HEALTH CARE,DIANA PRINCE,2,VITAMINS & SUPPLEMENTS,Multivitamin 90ct,Top 50%,Vendor Outreach,Demand spike,,N,93,81,86.7,99.8,90.8,85.1,83.4,94.9,89.2,95.6,N,N,N,2025-09-15,2025-09-12,2025-09-12,2025-09-13,2025-09-15,1.3,0.7,-1.9,2.1,1.7,55,1436,84,21.94,0.9697,0.9937,A,N,N,89.8,0.7,89.9,0.4,0.2919,93,246
VITAGEN,91123,92543,FL,32070,202540,CONSUMER HEALTH CARE,CAROL DANVERS,3,COLD & ALLERGY,Probiotic 30ct,Bottom 50%,Vendor Outreach,Transportation issue,,N,364,357,98.2,90.1,100,100,98.4,96.0,100,100,Y,N,Y,2025-09-25,2025-09-25,2025-09-27,2025-10-02,2025-10-04,18.0,14.2,19.0,20.5,15.7,198,1301,200,26.12,0.8702,0.855,A,N,N,97.1,17.4,98.0,19.0,0.4603,364,53
MEDIQ,55013,51049,TX,32071,202535,CONSUMER HEALTH CARE,NATASHA ROMANOV,4,PAIN MANAGEMENT,Multivitamin 90ct,Bottom 50%,Vendor Outreach,>5 days late,N,N,405,353,87.1,77.9,78.9,94.0,79.6,83.3,77.2,87.9,Y,Y,Y,2025-08-29,2025-08-30,2025-08-30,2025-09-04,2025-09-04,19.8,16.5,18.6,21.5,21.8,248,329,99,41.09,0.6261,0.6725,A,N,Y,82.6,19.6,82.5,19.5,0.287,405,237
MEDIQ,55013,20835,NC,32072,202538,CONSUMER HEALTH CARE,CAROL DANVERS,1,DIGESTIVE HEALTH,Dog Food Dry 20lb,Top 10%,Vendor Outreach,Weather delay,Y,N,165,154,93.1,97.4,100,92.5,79.5,89.4,91.9,100,Y,N,Y,2025-08-14,2025-08-14,2025-08-14,2025-08-17,2025-08-18,18.3,21.7,13.4,17.0,18.5,447,116,230,136.72,0.7762,0.8124,A,N,N,92.3,17.6,92.3,21.0,0.1944,165,189
GREENLEAF,61234,92938,NY,32073,202536,CONSUMER HEALTH CARE,BRUCE BANNER,3,COLD & ALLERGY,Immune Support 60ct,Top 10%,Vendor Outreach,Manufacturing shortage,,N,466,411,88.1,96.4,95.0,90.8,86.2,97.9,82.5,99.3,N,N,N,2025-08-09,2025-08-12,2025-08-13,2025-08-13,2025-08-14,0.0,3.4,-1.1,4.5,-3.2,443,1393,64,27.28,0.9034,0.8667,A,N,N,92.1,0.9,92.4,2.3,0.2767,466,82
ULTRAMED,75012,45221,NY,32074,202535,BEAUTY & PERSONAL CARE,THOR ODINSON,7,SKIN CARE,Hand Sanitizer 8oz,Bottom 50%,Vendor Outreach,>5 days late,N,Y,500,369,73.8,62.9,81.4,68.2,58.4,64.9,76.4,59.8,Y,Y,Y,2025-08-05,2025-08-08,2025-08-10,2025-08-16,2025-08-16,18.7,15.7,18.3,15.4,17.2,495,929,108,32.98,0.4979,0.4802,A,N,Y,67.7,16.6,67.7,16.1,0.4547,500,34
NOVAPHARM,41892,92074,WA,32075,202536,CONSUMER HEALTH CARE,THOR ODINSON,1,DIGESTIVE HEALTH,Pain Reliever 50ct,Top 10%,Vendor Outreach,Low fill rate (<85%),,Y,50,42,83.6,93.4,59.9,95.2,97.5,74.7,78.4,99.0,Y,N,N,2025-08-11,2025-08-08,2025-08-09,2025-08-11,2025-08-12,4.1,2.8,2.2,-0.4,8.8,371,1482,119,26.61,0.8245,0.7836,A,N,N,86.5,3.4,85.6,4.2,0.2018,50,237
AKZE,32274,55032,TX,32076,202541,BEAUTY & PERSONAL CARE,PETER PARKER,7,SKIN CARE,Shampoo 12oz,Bottom 50%,Vendor Outreach,>5 days late,,N,246,212,86.3,87.6,82.8,81.8,91.3,75.4,96.2,94.4,Y,Y,Y,2025-09-16,2025-09-14,2025-09-16,2025-09-18,2025-09-19,16.2,13.2,15.8,16.1,14.3,315,1456,226,27.43,0.644,0.6027,A,N,Y,85.9,14.9,86.4,17.6,0.2728,246,229
MEDIQ,55013,42477,OH,32077,202542,CONSUMER HEALTH CARE,CAROL DANVERS,2,VITAMINS & SUPPLEMENTS,Dog Food Dry 20lb,Top 50%,Vendor Outreach,Transportation issue,,Y,419,279,66.7,74.6,68.9,54.7,73.5,57.1,63.6,75.9,Y,Y,Y,2025-08-16,2025-08-16,2025-08-17,2025-08-17,2025-08-17,13.6,10.2,16.3,14.7,8.4,255,1356,36,24.29,0.5113,0.5591,A,N,Y,67.9,12.4,68.3,12.0,0.2894,419,289
MEDIQ,55013,71736,TX,32078,202535,CONSUMER HEALTH CARE,NATASHA ROMANOV,1,DIGESTIVE HEALTH,Nasal Spray 0.5oz,Top 10%,Vendor Outreach,Transportation issue,Y,N,160,137,85.6,98.7,90.8,74.4,85.1,77.3,85.5,84.6,Y,Y,Y,2025-09-21,2025-09-19,2025-09-21,2025-09-26,2025-09-27,14.0,12.8,14.7,15.0,19.9,300,1349,33,24.94,0.4241,0.4178,A,N,Y,87.2,15.6,85.9,17.0,0.5161,160,69
GREENLEAF,61234,89800,CA,32079,202535,BEAUTY & PERSONAL CARE,BRUCE BANNER,5,PERSONAL CARE,Moisturizer SPF30 3oz,Top 10%,Vendor Outreach,Weather delay,N,N,120,115,95.5,93.8,100,100,81.7,93.5,94.6,90.7,Y,N,Y,2025-08-28,2025-08-27,2025-08-29,2025-08-29,2025-08-30,7.9,7.7,6.4,10.1,6.3,364,1230,39,26.55,0.8439,0.845,A,N,N,93.9,7.6,94.9,9.0,0.1708,120,62
ULTRAMED,75012,25117,IL,32080,202534,PET CARE,NATASHA ROMANOV,9,PET SUPPLIES,Antacid Tablet 100ct,Top 50%,Vendor Outreach,Transportation issue,N,N,56,50,88.7,81.0,90.1,99.6,100,95.0,80.8,100.0,N,N,N,2025-09-06,2025-09-05,2025-09-05,2025-09-05,2025-09-05,0.9,-1.6,1.0,7.6,-1.5,114,1697,264,24.45,0.9846,1,A,N,N,92.7,1.4,93.0,3.4,0.2473,56,293
AKZE,32274,58354,IL,32081,202538,BEAUTY & PERSONAL CARE,DIANA PRINCE,5,PERSONAL CARE,Nasal Spray 0.5oz,Top 10%,Vendor Outreach,>5 days late,,Y,174,105,60.4,64.2,52.6,55.3,61.1,55.2,71.4,52.5,Y,Y,Y,2025-09-14,2025-09-11,2025-09-12,2025-09-12,2025-09-14,9.7,10.3,9.4,5.6,8.6,192,1788,157,23.9,0.3416,0.3446,A,N,Y,58.3,8.5,59.1,10.8,0.2259,174,32
BIOMED,48902,64140,GA,32082,202535,BABY & CHILD,THOR ODINSON,8,BABY CARE,Allergy Relief 24ct,Top 50%,Vendor Outreach,Vendor capacity constraint,N,Y,376,286,76.1,85.3,80.8,57.2,84.3,76.6,82.3,70.4,Y,N,N,2025-09-19,2025-09-22,2025-09-24,2025-09-24,2025-09-24,2.9,7.8,1.9,5.1,4.7,54,386,230,34.72,0.8352,0.8259,A,N,N,76.9,4.9,76.8,-0.1,0.3085,376,71
MEDIQ,55013,99922,OH,32083,202537,CONSUMER HEALTH CARE,THOR ODINSON,10,FIRST AID,Vitamin C 500mg 60ct,Bottom 50%,Vendor Outreach,Vendor capacity constraint,Y,N,217,189,87.2,82.6,82.1,66.8,85.2,88.7,82.7,100,N,N,N,2025-08-07,2025-08-10,2025-08-10,2025-08-10,2025-08-10,-0.8,1.5,-3.8,-2.1,-1.2,31,1750,113,21.65,0.7379,0.7703,A,N,N,79.2,-1.4,83.8,0.6,0.362,217,142
AKZE,32274,18450,IL,32084,202535,BABY & CHILD,DIANA PRINCE,8,BABY CARE,Shampoo 12oz,Top 50%,Vendor Outreach,Transportation issue,Y,N,474,460,97.1,100,100,100,100,85.4,100,89.2,N,N,N,2025-08-03,2025-08-04,2025-08-06,2025-08-06,2025-08-08,1.0,1.1,1.4,2.9,-0.2,151,1071,210,26.74,0.956,0.9539,A,N,N,100.0,1.3,97.7,3.0,0.3892,474,279
ULTRAMED,75012,81258,CA,32085,202541,BEAUTY & PERSONAL CARE,DIANA PRINCE,7,SKIN CARE,Eye Drops 0.5oz,Bottom 50%,Vendor Outreach,Vendor capacity constraint,N,Y,298,164,55.1,59.2,48.6,52.3,54.9,56.9,53.5,54.0,Y,Y,N,2025-08-15,2025-08-13,2025-08-13,2025-08-13,2025-08-15,3.7,12.3,7.0,-1.3,2.8,123,595,273,33.31,0.6265,0.6682,A,N,Y,53.8,5.2,56.3,7.5,0.2597,298,98
SYNCO,67441,87662,GA,32086,202534,BEAUTY & PERSONAL CARE,CAROL DANVERS,6,HAIR CARE,Nasal Spray 0.5oz,Bottom 50%,Vendor Outreach,>5 days late,N,Y,230,188,81.7,72.2,77.7,90.7,100,88.6,75.4,78.3,Y,N,Y,2025-09-09,2025-09-07,2025-09-07,2025-09-09,2025-09-11,7.4,10.6,6.9,7.0,4.7,90,1931,165,22.64,0.7173,0.6821,A,N,N,85.2,7.3,83.2,7.0,0.5323,230,201
ULTRAMED,75012,61851,NC,32087,202538,CONSUMER HEALTH CARE,NATASHA ROMANOV,2,VITAMINS & SUPPLEMENTS,Cough Syrup 8oz,Bottom 50%,Escalate to Merchant,Vendor capacity constraint,Y,Y,130,94,72.2,68.0,61.7,76.6,65.2,72.8,69.5,62.3,Y,Y,N,2025-09-14,2025-09-13,2025-09-13,2025-09-13,2025-09-15,4.2,4.9,8.1,5.4,6.5,0,1993,293,22.94,0.4566,0.506,A,N,Y,67.9,6.2,68.7,6.1,0.3878,130,63
MEDIQ,55013,53406,TX,32088,202539,CONSUMER HEALTH CARE,PETER PARKER,4,PAIN MANAGEMENT,Eye Drops 0.5oz,Top 50%,Vendor Outreach,>5 days late,Y,N,95,92,97.3,91.1,86.0,96.7,98.3,100,100,89.0,Y,N,Y,2025-09-01,2025-09-01,2025-09-02,2025-09-10,2025-09-11,16.8,21.1,13.1,20.0,22.9,51,1747,245,23.39,0.9287,0.9365,A,N,N,93.0,19.3,94.5,19.4,0.4596,95,27
AKZE,32274,51774,OH,32089,202539,CONSUMER HEALTH CARE,THOR ODINSON,2,VITAMINS & SUPPLEMENTS,Allergy Relief 24ct,Bottom 50%,Vendor Outreach,Weather delay,,N,242,212,87.4,81.7,100,96.1,94.6,86.4,100,85.8,Y,Y,Y,2025-08-07,2025-08-06,2025-08-06,2025-08-09,2025-08-10,16.6,18.3,16.0,17.9,15.5,356,1184,276,30.68,0.4061,0.3843,A,N,Y,93.1,16.9,91.5,17.5,0.4779,242,88
HEALTHCORP,80021,10500,NY,32090,202541,CONSUMER HEALTH CARE,BRUCE BANNER,2,VITAMINS & SUPPLEMENTS,Multivitamin 90ct,Top 50%,Vendor Outreach,Weather delay,,N,63,56,88.1,73.9,71.3,84.2,88.8,90.1,79.3,93.1,Y,Y,Y,2025-08-17,2025-08-17,2025-08-18,2025-08-22,2025-08-22,15.6,14.2,18.1,21.3,13.4,428,600,288,43.87,0.3247,0.3499,A,N,Y,79.5,16.8,84.1,16.4,0.2863,63,126
AKZE,32274,60738,AZ,32091,202541,BEAUTY & PERSONAL CARE,NATASHA ROMANOV,7,SKIN CARE,Cat Litter 40lb,Bottom 50%,Escalate to Merchant,Transportation issue,Y,Y,170,104,61.0,58.1,76.2,69.2,58.9,51.8,72.6,52.6,Y,Y,Y,2025-08-11,2025-08-09,2025-08-09,2025-08-11,2025-08-11,16.2,20.6,22.1,9.3,18.5,216,210,222,61.71,0.3808,0.4131,A,N,Y,65.6,17.6,63.1,19.8,0.1392,170,294
BIOMED,48902,52746,OH,32092,202534,PET CARE,PETER PARKER,9,PET SUPPLIES,Hand Sanitizer 8oz,Top 50%,Vendor Outreach,Manufacturing shortage,,N,369,346,93.8,94.6,90.0,99.9,100,75.8,83.5,96.9,N,N,N,2025-09-11,2025-09-11,2025-09-13,2025-09-14,2025-09-14,3.5,4.3,7.7,-1.1,5.2,88,614,206,29.58,0.7417,0.7526,A,N,N,96.1,4.0,91.5,3.8,0.2069,369,253
HEALTHCORP,80021,12651,GA,32093,202538,BEAUTY & PERSONAL CARE,DIANA PRINCE,5,PERSONAL CARE,Multivitamin 90ct,Bottom 50%,Vendor Outreach,Vendor capacity constraint,,N,489,467,95.4,93.3,100,100,100,100,81.4,100,N,N,N,2025-08-27,2025-08-29,2025-08-30,2025-08-31,2025-08-31,-0.1,-1.1,-0.9,-6.3,2.3,263,1670,81,24.12,0.719,0.74,A,N,N,98.3,-1.5,95.4,0.5,0.113,489,108
AKZE,32274,42701,CA,32094,202539,BABY & CHILD,CAROL DANVERS,8,BABY CARE,Vitamin C 500mg 60ct,Top 50%,Vendor Outreach,Transportation issue,,Y,190,107,56.2,48.4,58.0,66.9,50.6,56.7,65.5,37.0,Y,Y,Y,2025-09-14,2025-09-11,2025-09-12,2025-09-12,2025-09-13,13.1,15.6,12.0,14.6,17.0,25,383,292,36.55,0.6119,0.5833,A,N,Y,56.0,14.8,54.3,15.1,0.2843,190,20
AKZE,32274,72140,FL,32095,202534,CONSUMER HEALTH CARE,CAROL DANVERS,3,COLD & ALLERGY,Immune Support 60ct,Bottom 50%,Vendor Outreach,Weather delay,N,N,361,351,97.1,100,90.0,100,91.9,90.5,91.8,100,Y,N,Y,2025-08-01,2025-08-02,2025-08-04,2025-08-06,2025-08-08,9.8,8.6,13.2,7.0,7.0,331,1266,144,27.5,0.7866,0.7474,A,N,N,95.5,8.9,96.9,11.2,0.4877,361,143
SUNRISE,88345,95389,OH,32096,202542,CONSUMER HEALTH CARE,NATASHA ROMANOV,4,PAIN MANAGEMENT,Shampoo 12oz,Bottom 50%,Vendor Outreach,Vendor capacity constraint,,N,79,77,97.1,100,86.9,90.7,86.9,95.0,85.6,100,N,N,N,2025-08-22,2025-08-24,2025-08-26,2025-08-26,2025-08-28,0.9,0.9,0.6,-3.1,6.4,273,1357,243,27.61,0.9629,0.9801,A,N,N,91.1,1.2,92.7,-2.7,0.1815,79,59
MEDIQ,55013,43902,AZ,32097,202535,CONSUMER HEALTH CARE,THOR ODINSON,3,COLD & ALLERGY,Cough Syrup 8oz,Bottom 50%,Vendor Outreach,Transportation issue,N,N,164,158,96.2,95.5,91.3,100,93.2,100,91.9,100,Y,N,Y,2025-09-02,2025-08-30,2025-09-01,2025-09-04,2025-09-06,13.1,6.9,9.5,18.8,15.8,152,896,27,24.0,0.9525,0.9176,A,N,N,95.0,12.8,96.6,12.7,0.1645,164,102
PRIMECARE,34567,53598,FL,32098,202534,BEAUTY & PERSONAL CARE,PETER PARKER,6,HAIR CARE,Vitamin C 500mg 60ct,Top 10%,Escalate to Merchant,Demand spike,Y,Y,157,115,73.5,80.2,85.4,59.9,74.4,82.9,79.3,68.1,Y,Y,N,2025-09-27,2025-09-26,2025-09-28,2025-09-28,2025-09-28,4.8,2.5,8.5,4.9,3.9,346,58,127,183.1,0.3905,0.4282,A,N,Y,75.0,5.0,73.9,4.6,0.4707,157,162
PRIMECARE,34567,78195,NC,32099,202540,PET CARE,NATASHA ROMANOV,9,PET SUPPLIES,Cough Syrup 8oz,Top 10%,Vendor Outreach,Partial shipment,Y,N,118,106,90.1,93.5,96.2,85.7,97.4,100,97.2,86.1,N,N,N,2025-09-15,2025-09-17,2025-09-17,2025-09-18,2025-09-20,-0.4,-0.2,0.2,-1.9,-0.4,130,1629,273,24.95,0.8807,0.8901,A,N,N,93.2,-0.6,93.6,-0.3,0.4104,118,223
VITAGEN,91123,26199,AZ,32100,202536,BEAUTY & PERSONAL CARE,CAROL DANVERS,5,PERSONAL CARE,Sunscreen SPF50 4oz,Top 50%,Vendor Outreach,>5 days late,N,N,401,379,94.5,90.8,100,91.2,89.1,91.1,91.8,96.3,Y,N,Y,2025-09-19,2025-09-18,2025-09-20,2025-09-23,2025-09-24,16.8,15.6,15.7,21.9,12.7,360,889,151,31.5,0.7465,0.7513,A,N,N,92.8,16.5,93.1,19.1,0.2055,401,16
NOVAPHARM,41892,24474,NC,32101,202535,BABY & CHILD,PETER PARKER,8,BABY CARE,Shampoo 12oz,Bottom 50%,Vendor Outreach,Partial shipment,N,N,88,84,95.9,89.4,100,99.6,98.7,100,93.4,100,N,N,N,2025-08-28,2025-08-30,2025-08-30,2025-08-30,2025-08-30,-1.3,2.8,-5.5,-4.2,2.2,4,1794,70,20.82,0.8924,0.8595,A,N,N,96.9,-1.2,96.7,0.5,0.4953,88,57
HEALTHCORP,80021,33969,TX,32102,202541,BEAUTY & PERSONAL CARE,DIANA PRINCE,7,SKIN CARE,Fiber Supplement 90ct,Bottom 50%,Vendor Outreach,Demand spike,,Y,247,174,70.4,62.1,71.5,74.0,67.2,79.1,79.9,85.7,Y,Y,N,2025-08-23,2025-08-24,2025-08-24,2025-08-24,2025-08-25,-1.3,-2.0,0.2,-5.6,-0.1,471,1049,57,30.07,0.655,0.6491,A,N,Y,68.7,-1.9,74.3,0.8,0.3362,247,299
