VENDOR_NAME,SKU_NBR,DC_ID,CATEGORY,DNP_RANKING,FILL_RATE,TOTAL_WEEKS_OF_SUPPLY,RECEIPT_DELAY_DAYS,OOS_LIKELY,FILL_RATE_ISSUE,AVG_FILL_RATE_4WK,AVG_RECEIPT_DELAY_4WK,AVG_FILL_RATE_8WK,AVG_RECEIPT_DELAY_8WK,STORE_COUNT,COMBINED_CAUSE,COMBINED_ACTION
ULTRAMED,72395,TX,HAIR CARE,Bottom 50%,93.7,23.55,-1.7,N,N,94.2,-6.4,93.3,-7.4,190,Manufacturing shortage,Without Exception
AKZE,27950,AZ,PERSONAL CARE,Top 10%,44.5,44.61,1.7,Y,Y,51.0,1.6,47.1,-0.2,123,Low fill rate (<85%),
SUNRISE,28659,IL,PERSONAL CARE,Top 50%,91.4,44.18,14.9,N,N,92.9,17.0,93.3,19.0,92,Weather delay,
SUNRISE,90341,IL,PET SUPPLIES,Top 50%,96.4,36.01,16.9,N,N,94.5,16.5,94.3,18.4,276,>5 days late,
PRIMECARE,57349,OH,PET SUPPLIES,Top 10%,56.9,25.3,4.0,Y,Y,49.6,5.5,55.5,3.6,183,Demand spike,
GREENLEAF,62990,TX,PAIN MANAGEMENT,Top 10%,73.7,23.32,4.7,Y,Y,65.3,4.0,67.9,4.2,59,Demand spike,
ULTRAMED,78150,WA,BABY CARE,Top 50%,62.2,43.32,12.8,Y,Y,57.2,12.9,58.1,15.2,269,Weather delay,
VITAGEN,44523,WA,FIRST AID,Top 10%,89.8,30.86,4.2,N,N,93.3,4.9,90.3,6.6,245,Transportation issue,Without Exception
VITAGEN,84455,AZ,SKIN CARE,Bottom 50%,41.0,25.77,18.2,Y,Y,42.8,18.9,41.3,19.8,182,Transportation issue,
NOVAPHARM,84242,AZ,BABY CARE,Bottom 50%,68.7,26.64,2.4,Y,Y,66.1,1.2,69.6,-2.4,277,Demand spike,
HEALTHCORP,70619,FL,PAIN MANAGEMENT,Bottom 50%,89.8,110.56,0.8,N,N,92.1,2.3,89.7,2.1,31,Low fill rate (<85%),Without Exception
PRIMECARE,12609,CA,VITAMINS & SUPPLEMENTS,Top 10%,98.5,22.72,2.0,N,N,90.2,1.5,93.3,3.6,64,Low fill rate (<85%),Without Exception
SYNCO,45985,WA,SKIN CARE,Top 50%,70.8,30.51,0.6,Y,Y,73.1,2.4,73.3,4.9,211,Vendor capacity constraint,
BIOPLEX,21829,IL,PERSONAL CARE,Top 10%,89.8,26.44,1.4,N,N,86.9,1.0,89.6,-1.2,104,Vendor capacity constraint,Without Exception
PRIMECARE,94030,FL,DIGESTIVE HEALTH,Top 10%,65.3,27.61,20.1,Y,Y,63.4,18.6,63.7,19.9,127,Weather delay,
PRIMECARE,35987,OH,COLD & ALLERGY,Top 50%,51.4,27.67,19.8,Y,Y,52.8,20.0,50.9,23.6,84,Weather delay,
BIOPLEX,44314,IL,FIRST AID,Bottom 50%,68.5,25.98,2.2,Y,Y,71.4,2.8,69.4,-0.8,267,Low fill rate (<85%),
HEALTHCORP,71352,FL,VITAMINS & SUPPLEMENTS,Top 10%,45.1,25.66,-0.0,Y,Y,52.8,-1.2,45.3,-0.7,69,Vendor capacity constraint,
AKZE,67870,GA,PET SUPPLIES,Top 50%,71.7,22.31,2.6,Y,Y,76.3,-1.9,73.9,-2.7,245,Manufacturing shortage,
ULTRAMED,72895,WA,PERSONAL CARE,Top 50%,68.9,32.17,-0.5,Y,Y,67.9,-1.7,68.7,0.4,88,Low fill rate (<85%),
BIOPLEX,74336,NY,PERSONAL CARE,Top 10%,76.6,28.02,2.3,N,Y,74.3,-1.6,74.0,1.6,163,Demand spike,
BIOMED,66063,OH,FIRST AID,Top 50%,92.7,28.04,14.8,N,N,89.1,15.2,90.8,13.0,105,Transportation issue,
MEDIQ,20252,NC,PERSONAL CARE,Bottom 50%,57.4,20.76,3.7,Y,Y,59.1,-0.1,54.8,2.2,285,Vendor capacity constraint,
NOVAPHARM,49441,WA,COLD & ALLERGY,Bottom 50%,98.5,27.6,10.4,N,N,96.2,8.8,96.2,10.2,259,Weather delay,
SUNRISE,17956,AZ,DIGESTIVE HEALTH,Top 10%,79.3,40.03,8.9,N,Y,73.9,7.5,77.3,6.0,54,Weather delay,
PRIMECARE,26920,FL,PAIN MANAGEMENT,Bottom 50%,99.1,41.1,16.2,N,N,87.7,15.9,91.6,16.4,273,>5 days late,
ULTRAMED,23650,CA,BABY CARE,Top 50%,94.2,21.85,-0.9,N,N,90.2,-5.2,94.4,-5.0,97,Manufacturing shortage,Without Exception
BIOPLEX,58815,NY,HAIR CARE,Top 10%,91.3,23.54,3.6,N,N,90.7,3.0,91.5,4.0,276,Transportation issue,Without Exception
VITAGEN,62691,AZ,PERSONAL CARE,Bottom 50%,98.5,66.49,11.2,N,N,94.9,10.4,95.3,12.5,91,Transportation issue,
AKZE,80770,NC,PERSONAL CARE,Bottom 50%,44.9,34.11,7.9,Y,Y,47.5,8.0,46.9,7.8,194,Weather delay,
NOVAPHARM,29209,NY,SKIN CARE,Top 50%,92.1,28.71,12.4,N,N,87.8,10.8,88.1,7.8,90,Weather delay,
HEALTHCORP,25566,NC,SKIN CARE,Top 50%,41.8,28.22,-1.0,Y,Y,45.6,1.1,41.3,-0.0,77,Demand spike,
BIOMED,93422,WA,BABY CARE,Bottom 50%,86.3,54.29,-0.1,N,N,81.9,-2.1,83.2,-1.9,267,Low fill rate (<85%),Without Exception
NOVAPHARM,96278,AZ,COLD & ALLERGY,Top 50%,97.4,41.47,1.4,N,N,91.5,2.6,95.0,3.5,176,>5 days late,Without Exception
AKZE,17667,OH,SKIN CARE,Top 50%,88.9,25.34,20.2,Y,N,92.0,20.5,88.6,20.9,266,Weather delay,
MEDIQ,58929,AZ,COLD & ALLERGY,Top 10%,91.8,51.61,4.5,N,N,93.0,1.2,91.5,3.1,153,Demand spike,Without Exception
SYNCO,90012,AZ,HAIR CARE,Top 10%,91.8,20.96,-2.0,N,N,94.7,-2.5,93.2,-1.6,202,Demand spike,Without Exception
HEALTHCORP,60692,FL,DIGESTIVE HEALTH,Bottom 50%,59.6,23.49,2.3,Y,Y,57.2,3.7,60.3,3.7,299,Vendor capacity constraint,
NOVAPHARM,87091,FL,VITAMINS & SUPPLEMENTS,Top 10%,88.4,24.54,1.9,N,N,88.3,2.1,88.2,2.3,225,Demand spike,Without Exception
PRIMECARE,51450,CA,SKIN CARE,Top 10%,97.1,47.26,10.9,N,N,91.7,9.2,92.6,9.8,234,>5 days late,
ULTRAMED,68517,NC,VITAMINS & SUPPLEMENTS,Top 10%,89.7,28.3,2.7,N,N,94.7,4.0,92.0,1.5,108,>5 days late,Without Exception
NOVAPHARM,11610,NC,VITAMINS & SUPPLEMENTS,Top 10%,94.6,25.18,-1.6,N,N,96.9,-3.8,94.5,-4.1,296,Manufacturing shortage,Without Exception
VITAGEN,55064,IL,PAIN MANAGEMENT,Top 50%,60.9,26.72,-1.3,Y,Y,53.0,-3.0,54.7,-6.0,25,Low fill rate (<85%),
NOVAPHARM,28664,OH,BABY CARE,Bottom 50%,88.0,25.65,8.9,N,N,91.2,9.7,90.4,11.9,43,>5 days late,
MEDIQ,27143,IL,PAIN MANAGEMENT,Bottom 50%,66.4,63.85,6.8,Y,Y,71.1,7.7,70.3,6.2,201,Weather delay,
SUNRISE,73346,WA,BABY CARE,Top 50%,65.7,38.35,19.3,Y,Y,66.7,21.6,67.6,23.5,172,Transportation issue,
VITAGEN,13239,FL,BABY CARE,Top 50%,79.7,55.36,14.2,Y,Y,80.3,15.1,82.4,14.0,16,Weather delay,
ULTRAMED,77193,FL,SKIN CARE,Top 50%,60.9,23.92,10.7,Y,Y,60.8,9.6,57.0,9.6,216,>5 days late,
BIOMED,49274,GA,FIRST AID,Top 10%,99.7,27.36,-1.6,N,N,95.5,-0.6,94.2,-1.9,129,Vendor capacity constraint,Without Exception
ULTRAMED,78733,TX,BABY CARE,Bottom 50%,54.4,26.25,0.7,Y,Y,56.1,0.8,54.8,1.4,261,Manufacturing shortage,
PRIMECARE,85514,CA,VITAMINS & SUPPLEMENTS,Top 50%,71.3,29.55,4.4,Y,Y,72.4,3.1,73.7,3.6,268,Manufacturing shortage,
VITAGEN,69105,FL,PERSONAL CARE,Bottom 50%,86.1,31.78,6.2,N,N,81.7,4.6,85.5,7.8,73,>5 days late,
SUNRISE,61229,FL,VITAMINS & SUPPLEMENTS,Top 10%,87.7,41.08,15.9,Y,N,80.1,15.7,84.2,17.5,122,>5 days late,
ULTRAMED,32004,FL,DIGESTIVE HEALTH,Top 10%,89.8,28.47,7.6,N,N,87.5,9.0,87.7,11.6,97,Weather delay,
NOVAPHARM,88625,GA,SKIN CARE,Bottom 50%,98.3,52.74,9.5,N,N,95.5,11.3,94.1,11.9,237,Transportation issue,
HEALTHCORP,27598,OH,HAIR CARE,Top 10%,94.7,47.91,4.3,N,N,97.4,5.3,95.8,4.5,291,Weather delay,Without Exception
SYNCO,76509,TX,SKIN CARE,Top 10%,88.7,34.63,20.6,Y,N,92.4,19.4,89.9,21.8,141,Weather delay,
PRIMECARE,50088,WA,PERSONAL CARE,Top 50%,54.7,22.45,11.6,Y,Y,52.0,13.0,53.4,12.5,260,Weather delay,
SUNRISE,58258,CA,SKIN CARE,Top 50%,98.8,23.6,9.7,N,N,97.7,11.8,98.8,8.5,282,Transportation issue,
VITAGEN,86818,OH,SKIN CARE,Bottom 50%,75.1,24.53,8.5,N,Y,76.8,7.6,78.1,12.0,40,Weather delay,
MEDIQ,35150,OH,SKIN CARE,Top 50%,86.2,25.18,-0.1,N,N,88.2,-1.5,88.6,-2.3,214,>5 days late,Without Exception
GREENLEAF,17502,GA,HAIR CARE,Bottom 50%,57.7,26.61,3.3,Y,Y,55.5,2.2,54.9,3.2,258,Manufacturing shortage,
SUNRISE,90293,TX,HAIR CARE,Top 10%,95.5,27.42,-1.8,N,N,93.3,-3.9,93.1,-3.8,24,Demand spike,Without Exception
HEALTHCORP,60264,OH,PAIN MANAGEMENT,Bottom 50%,86.8,40.0,4.5,N,N,87.2,2.0,84.4,3.2,69,Low fill rate (<85%),Without Exception
HEALTHCORP,26700,GA,SKIN CARE,Top 50%,63.6,41.54,-0.4,Y,Y,63.1,0.5,60.7,1.5,73,Demand spike,
SUNRISE,85231,WA,PAIN MANAGEMENT,Top 50%,42.6,31.23,17.0,Y,Y,38.2,17.7,38.9,15.7,290,>5 days late,
NOVAPHARM,27157,GA,FIRST AID,Top 10%,65.4,25.35,4.0,Y,Y,64.3,1.5,65.2,-0.3,135,Low fill rate (<85%),
NOVAPHARM,41569,NY,BABY CARE,Bottom 50%,74.1,28.81,15.5,Y,Y,78.6,16.7,76.6,15.5,74,Weather delay,
HEALTHCORP,18322,AZ,COLD & ALLERGY,Bottom 50%,63.6,35.93,4.8,Y,Y,59.4,7.4,61.3,7.4,288,Low fill rate (<85%),
VITAGEN,96266,CA,PAIN MANAGEMENT,Top 50%,98.6,38.9,5.0,N,N,97.8,3.8,97.0,5.0,93,Weather delay,Without Exception
PRIMECARE,20912,OH,SKIN CARE,Top 10%,96.0,22.15,8.3,N,N,98.6,7.8,94.4,7.2,203,Weather delay,
VITAGEN,23762,TX,COLD & ALLERGY,Top 10%,61.5,22.38,8.6,Y,Y,63.6,8.6,58.4,7.7,199,Weather delay,
SYNCO,98895,NC,SKIN CARE,Bottom 50%,75.1,22.4,4.6,N,Y,71.3,4.5,72.4,8.1,79,Demand spike,
PRIMECARE,77503,AZ,VITAMINS & SUPPLEMENTS,Top 10%,72.8,22.65,18.4,Y,Y,65.5,17.8,65.2,18.7,137,Transportation issue,
NOVAPHARM,48019,OH,BABY CARE,Top 50%,94.5,88.24,18.7,N,N,91.5,17.9,91.9,13.7,13,>5 days late,
ULTRAMED,42785,IL,BABY CARE,Top 10%,79.3,21.95,3.2,N,Y,79.5,4.0,78.1,4.4,263,Low fill rate (<85%),
SUNRISE,26703,GA,SKIN CARE,Top 10%,96.9,22.48,6.1,N,N,99.5,7.2,97.3,7.3,62,Weather delay,
SUNRISE,75841,NC,COLD & ALLERGY,Top 50%,91.0,22.44,11.7,N,N,94.6,13.1,94.3,14.8,10,Transportation issue,
ULTRAMED,52157,IL,PERSONAL CARE,Bottom 50%,91.5,58.95,0.5,N,N,94.0,-1.4,90.4,3.7,238,Transportation issue,Without Exception
NOVAPHARM,81641,NC,HAIR CARE,Top 10%,93.0,32.18,3.9,N,N,93.1,2.1,95.2,4.1,263,Transportation issue,Without Exception
BIOMED,77303,TX,COLD & ALLERGY,Bottom 50%,57.2,21.4,1.5,Y,Y,57.9,1.2,57.7,3.9,117,Vendor capacity constraint,
NOVAPHARM,10183,GA,FIRST AID,Top 10%,98.3,27.9,6.2,N,N,99.5,11.2,97.9,9.3,147,Weather delay,
GREENLEAF,92549,NY,COLD & ALLERGY,Top 50%,56.2,26.75,15.7,Y,Y,58.1,17.1,54.6,16.6,16,>5 days late,
AKZE,27324,IL,VITAMINS & SUPPLEMENTS,Bottom 50%,85.2,41.17,-0.6,N,N,86.8,-2.4,88.0,-1.4,124,Demand spike,Without Exception
SYNCO,65985,NY,COLD & ALLERGY,Top 50%,95.3,24.12,7.1,N,N,91.0,10.7,93.6,9.9,148,Weather delay,
ULTRAMED,58380,OH,VITAMINS & SUPPLEMENTS,Bottom 50%,89.8,31.71,4.7,N,N,88.4,7.5,90.3,6.6,262,Manufacturing shortage,Without Exception
BIOMED,40161,NY,VITAMINS & SUPPLEMENTS,Top 50%,70.5,27.28,4.4,Y,Y,67.5,4.7,66.0,5.7,227,Low fill rate (<85%),
AKZE,23894,NC,VITAMINS & SUPPLEMENTS,Top 10%,87.1,24.66,8.1,N,N,88.8,7.1,86.0,4.7,242,Transportation issue,
SUNRISE,43823,NC,PET SUPPLIES,Top 10%,52.0,29.37,4.8,Y,Y,56.8,4.8,53.7,2.5,287,Low fill rate (<85%),
NOVAPHARM,37775,NC,DIGESTIVE HEALTH,Bottom 50%,80.9,31.23,6.7,N,Y,83.9,6.9,82.5,8.7,205,>5 days late,
GREENLEAF,14903,OH,COLD & ALLERGY,Bottom 50%,86.4,28.67,16.9,Y,N,79.8,14.9,83.9,11.0,59,Transportation issue,
MEDIQ,50572,AZ,VITAMINS & SUPPLEMENTS,Bottom 50%,81.1,23.67,-0.2,N,Y,79.6,-0.1,83.3,-0.6,201,Demand spike,
ULTRAMED,64158,AZ,BABY CARE,Top 10%,42.5,62.58,9.3,Y,Y,38.8,6.8,40.4,6.0,68,Weather delay,
PRIMECARE,15017,AZ,COLD & ALLERGY,Top 10%,65.0,24.12,9.2,Y,Y,73.1,8.3,68.3,6.5,229,>5 days late,
BIOPLEX,31565,IL,HAIR CARE,Bottom 50%,74.5,30.8,3.1,Y,Y,77.0,5.0,75.3,5.8,240,Manufacturing shortage,
ULTRAMED,68894,NC,VITAMINS & SUPPLEMENTS,Top 10%,58.5,29.88,14.7,Y,Y,52.8,15.1,56.5,17.5,201,>5 days late,
BIOMED,87973,FL,PET SUPPLIES,Top 10%,70.3,24.05,2.5,Y,Y,63.0,3.2,65.7,2.3,247,Demand spike,
ULTRAMED,61879,CA,HAIR CARE,Top 10%,69.0,38.5,-1.8,Y,Y,73.7,-1.5,72.1,-4.5,98,Low fill rate (<85%),
HEALTHCORP,77800,FL,SKIN CARE,Top 50%,62.2,25.74,7.4,Y,Y,56.5,9.2,61.8,9.4,135,Weather delay,
VITAGEN,44141,CA,PERSONAL CARE,Top 10%,83.3,24.33,8.7,N,Y,82.9,7.8,84.6,6.0,101,>5 days late,
GREENLEAF,92734,NC,DIGESTIVE HEALTH,Bottom 50%,99.9,24.67,3.3,N,N,97.9,3.2,98.3,1.6,214,Weather delay,Without Exception
BIOPLEX,32670,IL,PERSONAL CARE,Top 50%,65.9,140.34,10.1,Y,Y,66.8,8.2,63.5,5.7,175,Weather delay,
MEDIQ,56890,IL,VITAMINS & SUPPLEMENTS,Top 50%,53.8,29.79,-0.0,Y,Y,55.4,-0.3,54.3,0.2,150,Manufacturing shortage,
NOVAPHARM,26265,WA,COLD & ALLERGY,Bottom 50%,65.4,35.32,18.6,Y,Y,70.0,18.9,66.6,20.6,242,Weather delay,
ULTRAMED,25913,GA,FIRST AID,Top 10%,85.2,24.97,19.5,Y,N,84.9,19.8,87.8,21.2,221,>5 days late,
PRIMECARE,97586,TX,PET SUPPLIES,Top 50%,61.6,26.09,11.3,Y,Y,65.2,10.0,62.2,12.6,88,>5 days late,
NOVAPHARM,27047,IL,HAIR CARE,Bottom 50%,88.0,23.5,-1.2,N,N,86.6,1.0,89.2,2.4,149,Low fill rate (<85%),Without Exception
NOVAPHARM,16440,NY,SKIN CARE,Top 10%,93.9,44.36,9.3,N,N,89.9,10.5,88.9,11.8,157,>5 days late,
AKZE,22352,FL,PET SUPPLIES,Top 10%,79.9,22.4,11.0,Y,Y,83.5,13.0,83.9,16.0,85,>5 days late,
NOVAPHARM,49924,GA,BABY CARE,Top 10%,95.0,87.08,2.6,N,N,97.3,4.0,95.0,4.6,203,Demand spike,Without Exception
NOVAPHARM,45903,AZ,BABY CARE,Top 10%,55.3,54.45,-1.1,Y,Y,57.3,-4.4,57.7,-5.3,30,Demand spike,
BIOPLEX,87735,TX,DIGESTIVE HEALTH,Top 10%,94.9,23.87,17.5,N,N,93.8,20.0,94.0,21.3,169,>5 days late,
GREENLEAF,67123,GA,FIRST AID,Top 10%,64.4,118.49,-1.0,Y,Y,61.2,-3.0,61.8,-2.1,75,Demand spike,
BIOMED,84130,OH,DIGESTIVE HEALTH,Top 50%,60.4,23.2,-1.3,Y,Y,59.2,-3.7,62.8,-0.5,13,Low fill rate (<85%),
GREENLEAF,36306,TX,VITAMINS & SUPPLEMENTS,Top 50%,62.9,21.26,8.8,Y,Y,66.6,9.8,63.2,9.1,61,>5 days late,
PRIMECARE,58147,OH,SKIN CARE,Bottom 50%,58.7,28.19,4.3,Y,Y,60.0,6.9,59.4,6.5,298,Demand spike,
PRIMECARE,28355,OH,PERSONAL CARE,Top 10%,92.3,25.54,2.1,N,N,96.8,1.5,93.0,2.1,99,Transportation issue,Without Exception
VITAGEN,65057,TX,DIGESTIVE HEALTH,Bottom 50%,96.2,51.55,12.7,N,N,90.3,14.3,94.0,16.8,27,>5 days late,
AKZE,57128,NY,FIRST AID,Top 50%,72.1,23.32,1.9,Y,Y,69.3,1.1,67.5,4.8,44,Manufacturing shortage,
BIOPLEX,19801,AZ,FIRST AID,Bottom 50%,89.7,25.39,2.6,N,N,88.7,3.2,89.8,1.8,46,>5 days late,Without Exception
GREENLEAF,90272,TX,PET SUPPLIES,Top 50%,44.6,57.65,-1.8,Y,Y,43.7,-2.4,41.9,-1.7,39,Manufacturing shortage,
SYNCO,22057,NC,DIGESTIVE HEALTH,Top 10%,74.9,45.0,7.9,Y,Y,70.6,6.2,73.0,9.2,197,>5 days late,
BIOPLEX,95674,IL,PET SUPPLIES,Top 10%,44.6,55.12,10.6,Y,Y,46.6,10.9,48.9,10.6,206,Transportation issue,
AKZE,60146,NY,BABY CARE,Top 50%,94.9,25.56,17.3,N,N,94.0,17.4,96.0,16.0,300,Weather delay,
BIOPLEX,31305,NY,BABY CARE,Top 10%,97.0,20.44,2.6,N,N,98.2,3.2,97.2,4.0,151,>5 days late,Without Exception
BIOMED,51160,TX,BABY CARE,Bottom 50%,88.9,22.61,2.6,N,N,88.2,0.3,89.0,1.3,49,Partial shipment,Without Exception
SYNCO,52701,NC,HAIR CARE,Top 10%,52.5,25.61,6.5,Y,Y,56.3,8.6,55.3,3.5,290,Weather delay,
VITAGEN,80643,TX,PET SUPPLIES,Top 10%,59.4,25.99,11.4,Y,Y,67.1,11.4,65.2,10.1,74,Weather delay,
SYNCO,63427,NC,COLD & ALLERGY,Top 50%,89.7,39.95,-1.9,N,N,94.8,-3.5,90.4,0.3,295,Low fill rate (<85%),Without Exception
SUNRISE,48455,TX,HAIR CARE,Top 10%,86.1,33.26,3.3,N,N,87.5,0.0,84.1,-0.1,184,Partial shipment,Without Exception
GREENLEAF,77853,AZ,FIRST AID,Top 10%,54.0,57.68,2.3,Y,Y,53.8,2.1,53.9,3.1,286,Low fill rate (<85%),
SYNCO,10873,WA,DIGESTIVE HEALTH,Bottom 50%,58.8,37.58,-1.2,Y,Y,57.6,-0.7,56.0,2.1,29,Demand spike,
NOVAPHARM,78327,GA,PAIN MANAGEMENT,Bottom 50%,85.1,26.01,-0.0,N,N,89.6,-2.8,88.4,-3.8,188,Weather delay,Without Exception
BIOMED,96106,FL,PERSONAL CARE,Bottom 50%,75.1,29.73,17.3,Y,Y,71.3,17.8,76.4,15.6,147,Weather delay,
SYNCO,63609,CA,PET SUPPLIES,Bottom 50%,57.2,83.56,12.1,Y,Y,56.6,11.6,55.9,10.4,195,Transportation issue,
SYNCO,30577,AZ,SKIN CARE,Top 50%,90.0,22.55,-1.3,N,N,89.5,-1.3,90.3,0.9,268,Vendor capacity constraint,Without Exception
SUNRISE,64444,CA,DIGESTIVE HEALTH,Top 50%,96.9,29.9,10.0,N,N,98.5,9.1,97.6,12.3,241,Transportation issue,
GREENLEAF,13262,NY,PAIN MANAGEMENT,Top 10%,68.3,26.45,1.4,Y,Y,70.4,2.1,72.9,2.8,297,Manufacturing shortage,
BIOMED,75511,GA,PAIN MANAGEMENT,Bottom 50%,64.4,27.21,7.8,Y,Y,61.8,7.6,65.2,12.5,200,>5 days late,
ULTRAMED,31750,FL,PERSONAL CARE,Top 50%,90.6,41.24,4.5,N,N,90.2,3.7,87.8,4.3,189,Partial shipment,Without Exception
BIOMED,39626,GA,DIGESTIVE HEALTH,Top 10%,58.8,25.97,-1.3,Y,Y,52.5,1.2,54.8,-2.1,120,Manufacturing shortage,
GREENLEAF,29200,FL,COLD & ALLERGY,Bottom 50%,46.0,36.15,0.8,Y,Y,40.2,-0.3,41.4,-0.1,101,Demand spike,
HEALTHCORP,71089,GA,SKIN CARE,Top 50%,90.7,37.61,0.6,N,N,96.8,0.6,94.3,2.4,261,Manufacturing shortage,Without Exception
PRIMECARE,94875,AZ,VITAMINS & SUPPLEMENTS,Top 50%,87.3,28.27,15.6,Y,N,80.8,17.6,85.7,17.3,216,>5 days late,
ULTRAMED,97771,CA,VITAMINS & SUPPLEMENTS,Top 10%,86.3,21.77,10.1,Y,N,88.3,11.4,89.4,14.7,245,Weather delay,
SUNRISE,42339,OH,PAIN MANAGEMENT,Top 10%,89.3,27.62,20.7,Y,N,87.4,19.1,89.3,20.7,157,Weather delay,
HEALTHCORP,76029,AZ,PERSONAL CARE,Top 10%,88.3,24.02,2.6,N,N,87.8,2.6,87.6,3.9,243,>5 days late,Without Exception
GREENLEAF,67012,NY,BABY CARE,Top 10%,54.9,30.31,13.6,Y,Y,58.8,12.0,54.5,10.9,82,Weather delay,
PRIMECARE,61903,FL,BABY CARE,Top 50%,89.5,34.99,13.2,Y,N,92.5,13.5,93.2,15.4,227,Weather delay,
VITAGEN,80007,TX,HAIR CARE,Top 50%,87.7,27.46,7.2,N,N,88.8,8.9,88.4,10.0,274,>5 days late,
PRIMECARE,20831,GA,VITAMINS & SUPPLEMENTS,Top 50%,93.6,49.76,15.5,N,N,88.8,13.8,90.3,13.3,111,Transportation issue,
GREENLEAF,69636,NY,DIGESTIVE HEALTH,Top 10%,92.3,22.58,18.3,N,N,89.8,18.6,91.0,20.8,262,Transportation issue,
BIOPLEX,55270,WA,FIRST AID,Bottom 50%,43.4,61.11,19.9,Y,Y,45.8,20.8,46.0,18.9,252,Transportation issue,
VITAGEN,46016,FL,PERSONAL CARE,Top 50%,69.8,25.67,15.0,Y,Y,71.9,16.0,71.6,15.4,265,Transportation issue,
BIOMED,32283,NY,PERSONAL CARE,Top 10%,82.6,29.48,16.1,Y,Y,79.3,17.4,81.0,13.9,66,>5 days late,
BIOPLEX,33412,FL,SKIN CARE,Bottom 50%,58.4,26.13,3.3,Y,Y,58.7,3.2,59.6,0.2,224,Vendor capacity constraint,
VITAGEN,34756,CA,FIRST AID,Top 10%,84.0,25.34,11.6,Y,Y,80.5,9.1,83.6,10.7,246,Transportation issue,
SYNCO,99610,NC,BABY CARE,Top 50%,94.6,56.9,-1.5,N,N,92.8,-3.5,93.0,-4.1,196,>5 days late,Without Exception
SUNRISE,77051,WA,SKIN CARE,Top 10%,96.4,30.85,10.0,N,N,89.4,11.2,91.7,8.8,23,Weather delay,
HEALTHCORP,83864,GA,PERSONAL CARE,Bottom 50%,60.9,27.04,11.8,Y,Y,58.7,12.9,59.7,14.5,201,Transportation issue,
PRIMECARE,94984,FL,PET SUPPLIES,Top 10%,40.6,23.0,0.5,Y,Y,42.5,-0.7,43.4,-1.1,136,Demand spike,
BIOPLEX,33944,IL,PAIN MANAGEMENT,Top 10%,89.0,32.43,10.5,Y,N,91.3,10.5,88.3,12.9,14,>5 days late,
VITAGEN,24617,WA,PAIN MANAGEMENT,Top 10%,96.3,32.75,-0.3,N,N,94.9,-0.3,92.1,-0.1,285,Manufacturing shortage,Without Exception
SYNCO,24249,IL,PAIN MANAGEMENT,Bottom 50%,63.3,30.46,3.4,Y,Y,60.7,5.8,61.9,6.9,171,Manufacturing shortage,
BIOPLEX,65744,NC,SKIN CARE,Top 10%,85.8,37.62,-0.2,N,N,88.0,1.1,89.4,3.6,259,Transportation issue,Without Exception
BIOPLEX,89522,NC,SKIN CARE,Top 10%,89.1,27.29,17.6,Y,N,88.6,15.6,88.2,14.6,170,Weather delay,
PRIMECARE,38155,FL,HAIR CARE,Bottom 50%,48.8,28.95,3.6,Y,Y,43.5,5.3,46.6,8.7,249,Low fill rate (<85%),
ULTRAMED,35020,TX,SKIN CARE,Bottom 50%,83.8,39.55,3.2,N,Y,86.8,4.0,85.4,1.5,88,Demand spike,
MEDIQ,37019,OH,COLD & ALLERGY,Bottom 50%,41.7,23.65,4.9,Y,Y,49.7,5.3,46.8,4.2,99,Manufacturing shortage,
GREENLEAF,77698,TX,COLD & ALLERGY,Bottom 50%,94.1,91.04,-0.2,N,N,94.6,-0.2,94.6,2.9,251,Low fill rate (<85%),Without Exception
BIOPLEX,94850,GA,DIGESTIVE HEALTH,Top 50%,86.9,25.21,12.2,Y,N,90.5,11.0,86.9,11.6,24,>5 days late,
HEALTHCORP,13735,WA,DIGESTIVE HEALTH,Bottom 50%,96.4,27.4,7.0,N,N,96.8,6.6,97.1,8.7,110,Weather delay,
SYNCO,77467,FL,COLD & ALLERGY,Top 10%,57.8,25.52,13.8,Y,Y,59.4,14.7,58.5,12.3,131,Transportation issue,
VITAGEN,52274,CA,FIRST AID,Top 50%,94.4,24.01,-1.2,N,N,89.1,-1.6,90.0,-1.7,288,Manufacturing shortage,Without Exception
NOVAPHARM,39769,WA,VITAMINS & SUPPLEMENTS,Top 50%,78.4,26.17,21.0,Y,Y,80.4,23.8,77.0,22.9,94,>5 days late,
ULTRAMED,91026,IL,COLD & ALLERGY,Top 10%,85.7,30.27,0.3,N,N,86.5,0.1,86.5,-3.5,224,Manufacturing shortage,Without Exception
GREENLEAF,35345,IL,HAIR CARE,Top 50%,87.1,22.27,2.5,N,N,82.2,1.2,85.0,4.9,228,Manufacturing shortage,Without Exception
MEDIQ,73871,OH,PAIN MANAGEMENT,Top 10%,94.0,24.83,12.3,N,N,93.8,13.8,92.3,15.9,232,Transportation issue,
BIOPLEX,23626,WA,PET SUPPLIES,Bottom 50%,80.7,26.16,11.4,Y,Y,75.6,11.5,79.4,12.6,102,Transportation issue,
ULTRAMED,53117,TX,PERSONAL CARE,Bottom 50%,79.2,32.79,10.9,Y,Y,73.4,11.1,79.6,11.1,126,Transportation issue,
BIOPLEX,23277,TX,SKIN CARE,Top 10%,56.8,64.59,7.7,Y,Y,60.4,7.6,59.3,10.1,191,Transportation issue,
